3
199 3
 0  69   0
 67  91  56
 59  16  10
 23  89  94
 88  68  18
 90  41  16
 67 100   1
 19  65  83
 56  16  76
 62  69  48
 49  86   8
 -1  97  -1
 72  17   6
 71  33  39
 86  -1  -1
 58  95  26
 63  11  88
 86  66   7
 34  38  19
 69   4  16
 64  48  55
  0  87   9
 26  45  82
 86  53  77
 38  -1  91
  3  -1  98
 26  97  86
100   2  49
 25  18  34
  5  54  44
 69  35  21
 57  52  44
 49  54  41
 99  10  80
 70  76  52
 89  93  50
 49  36  59
  6  25  97
 55  64   2
 37  88  66
 40  41  49
 43  81  34
 92  54  56
  0  92  54
 60  33  75
 29  56  94
  8   8   1
 21  85  94
 96   8  91
 60  89  24
 21  26  22
 59  76  62
 91  19  53
  1  86  15
 99   8  49
 46  87  42
 16  29  24
 51  28   0
 32  -1   9
  0  32   0
 25   0  98
 38  51  25
 85   5  82
  5  10  22
 86  58  52
 79  73   5
 38  14  72
 68  36  29
 82  56  61
 51  52  10
 28  60  40
 63  53  92
 41  33  46
 88  39  90
 92  29  27
 36  55  11
 94   4  46
 70  26  81
 12  94  37
 84  77  51
 12   7  95
 91  14  72
 11   1  11
  1  52  29
 65  57  51
 26  37  31
 91  25  29
 43  97   7
 48  43  88
 66  90  24
 75  87  21
 52  76  32
 39  38  49
 20  10  68
 61  13  44
 40  10  50
 28  69  54
 27   4  90
 52  64   3
 50  44  77
 76  52  56
 40  67  35
 45  61  77
 64  85  89
 11  35  45
 41   2   7
 90  44  31
 20  76  79
 69  14  48
 37  24  99
 81  27  99
 21  21   3
 99  19  10
 48 100  96
100  73  77
 32  43  33
  7  67  36
 66  97  30
 70  57  20
 60  87  36
 53  69  67
 49  96  57
 99  15  55
 44   2  18
 82  52  15
 17  60   0
 54  18   5
 66  89  93
 35  98  73
 82  87  22
 21  51  39
 92  68   0
 29  25  51
 74   3  62
 75  57  73
 52  71  64
 35  42  24
 72  40  10
 59  44  21
 36  77  43
 36  47 100
 34  37  32
 95  56  96
 15  29  33
 81  35   1
 96  55  21
 52  95  78
 57  24  43
 31   8  84
 72   6  11
 17   1   8
 84  38  32
 94  55  14
 72  42  10
  7  67  10
 40  14  60
 12  48  62
 45  21   6
 61  38  84
 40  98   0
 71  65  84
 49  72  59
 80  88  47
 53  28  65
 12   4  14
 34  47  62
 95   6  30
 24  97  53
 81  45  15
 69  67   2
 65  10   8
 33  88  90
 18  75  55
 12  49  58
 27  89  12
 85  62  50
 60  88  59
 26  79  27
  9  56  63
 48  25  53
  0  95  27
 35  64  45
 93  17  39
 18  70   1
 38   5  42
  4  14  81
 18  92  99
 77  77  89
 41  61  30
 62  95  21
 49  94  93
 17  51  96
 14  68  55
 22  80  99
 49  51  63
 20  32  20
 74   9  95
 11  71  91
 94  0  46
 199 5
  0  78  21  35  0
  0  27  90  -1  24
 21  10  77  92  16
 61  62  98  70   1
 90  35  55  91  78
  2  97  41  80  23
 76  82  65  47  74
 69  35  59  79  57
 72  48  46  96  62
  7  18  0  25  26
 -1  43  16   7  61
 70  50  88  44  88
 32  82  67   6  69
 21  66  31  45   1
 80  91  31  54  85
 -1  73  57  84   6
 17  18  27  78  51
 58  -1  -1  -1  83
 45  24   5  22  63
 -1  18  -1  60  -1
 90  38  -1   6  19
 58  43  -1  57  55
 45  28  -1  23  87
 37  15  -1  24  96
 83  58  57  85  88
 84  -1  -1  -1  86
 57  43  45  20  57
 39  14   1  71  56
 24  49  55  14  77
 24  68  74  84  50
 -1  -1  51  -1  -1
 68  42  33  45  40
 31  76  76  63  52
 68   0   2  91  38
 93  13  63  53  35
 58  86  85  53  47
 39  56  17  -1  40
  8  23   8  35  78
 81  59  43  75  85
 99  48  47  99   7
 94  35  51  78  66
 12  43  87   8  51
  0  20  76   3   6
 21  10  24  48  66
 80  34  -1  79  16
 45  96  21  59  63
